eventID	assertionID	assertionType	assertionTypeIRI	assertionValue	assertionValueIRI	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionProtocols	assertionProtocolID
BROKE_WEST_RMT_001_RMT8	BROKE_WEST_RMT_001_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			17389.23	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_002_RMT8	BROKE_WEST_RMT_002_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			16962.74	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_003_RMT8	BROKE_WEST_RMT_003_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			14839.03	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_004_RMT8	BROKE_WEST_RMT_004_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			37624.59	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_005_RMT8	BROKE_WEST_RMT_005_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			41717.26	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_006_RMT8	BROKE_WEST_RMT_006_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			17732.57	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_007_RMT8	BROKE_WEST_RMT_007_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			53120.18	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_008_RMT8	BROKE_WEST_RMT_008_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			42344.26	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_009_RMT8	BROKE_WEST_RMT_009_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			13815.18	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_010_RMT8	BROKE_WEST_RMT_010_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			35601.26	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_011_RMT8	BROKE_WEST_RMT_011_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			43118.45	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_012_RMT8	BROKE_WEST_RMT_012_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7421.39	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_013_RMT8	BROKE_WEST_RMT_013_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			5507.61	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
BROKE_WEST_RMT_014_RMT8	BROKE_WEST_RMT_014_RMT8_RMT8_Sampled volume	Sampled volume	http://vocab.nerc.ac.uk/collection/P01/current/VOLWBSMP			7285.69	m^3	http://vocab.nerc.ac.uk/collection/P06/current/MCUB/		
